Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Value_1,Color_1,Value_2,Color_2,Vimsho_Score,Net_Modifier
D7,Saptamsa,Mercury,Mercury,True,16.3,16.3,K,,,16.3,44.2
D7,Saptamsa,Mercury,Jupiter,False,1.0[R],1.0,R,,,,94.8
D7,Saptamsa,Mercury,Venus,False,2.1[G],2.1,G,,,,-16.3
D7,Saptamsa,Mercury,Saturn,False,,,,,,,11.3
D7,Saptamsa,Jupiter,Sun,False,5.9[G],5.9,G,,,,21.6
D7,Saptamsa,Jupiter,Moon,False,44.1[G],44.1,G,,,,47.6
D7,Saptamsa,Jupiter,Mars,False,47.3[G],47.3,G,,,,110.1
D7,Saptamsa,Jupiter,Mercury,False,,,,,,,44.2
D7,Saptamsa,Jupiter,Jupiter,True,11.6,11.6,K,,,11.6,94.8
D7,Saptamsa,Jupiter,Venus,False,,,,,,,-16.3
D7,Saptamsa,Jupiter,Saturn,False,,,,,,,11.3
D7,Saptamsa,Venus,Sun,False,,,,,,,21.6
D7,Saptamsa,Venus,Moon,False,,,,,,,47.6
D7,Saptamsa,Venus,Mars,False,,,,,,,110.1
D7,Saptamsa,Venus,Mercury,False,,,,,,,44.2
D7,Saptamsa,Venus,Jupiter,False,8.6[R],8.6,R,,,,94.8
D7,Saptamsa,Venus,Venus,True,14.6,14.6,K,,,14.6,-16.3
D7,Saptamsa,Venus,Saturn,False,43.1[G],43.1,G,,,,11.3
D7,Saptamsa,Saturn,Sun,False,,,,,,,21.6
D7,Saptamsa,Saturn,Moon,False,,,,,,,47.6
D7,Saptamsa,Saturn,Mars,False,,,,,,,110.1
D7,Saptamsa,Saturn,Mercury,False,,,,,,,44.2
D7,Saptamsa,Saturn,Jupiter,False,,,,,,,94.8
D7,Saptamsa,Saturn,Venus,False,16.3[R],16.3,R,,,,-16.3
D7,Saptamsa,Saturn,Saturn,True,14.4,14.4,K,,,14.4,11.3
D9,Navamsa,Sun,Sun,True,7.6,7.6,K,,,7.6,18.0
D9,Navamsa,Sun,Moon,False,0.1[G],0.1,G,,,,46.0
D9,Navamsa,Sun,Mars,False,1.0[G],1.0,G,,,,98.3
D9,Navamsa,Sun,Mercury,False,60.0[R] 49.5[G],60.0,R,49.5,G,,-14.7
D9,Navamsa,Sun,Jupiter,False,,,,,,,94.8
D9,Navamsa,Sun,Venus,False,,,,,,,-14.1
D9,Navamsa,Sun,Saturn,False,,,,,,,3.7
D9,Navamsa,Moon,Sun,False,5.8[G],5.8,G,,,,18.0
D9,Navamsa,Moon,Moon,True,14.2,14.2,K,,,14.2,46.0
D9,Navamsa,Moon,Mars,False,42.5[G],42.5,G,,,,98.3
D9,Navamsa,Moon,Mercury,False,4.2[R],4.2,R,,,,-14.7
D9,Navamsa,Moon,Jupiter,False,34.8[G],34.8,G,,,,94.8
D9,Navamsa,Moon,Venus,False,14.1[R],14.1,R,,,,-14.1
D9,Navamsa,Moon,Saturn,False,19.5[R],19.5,R,,,,3.7
D9,Navamsa,Mars,Sun,False,7.2[G],7.2,G,,,,18.0
D9,Navamsa,Mars,Moon,False,,,,,,,46.0
D9,Navamsa,Mars,Mars,True,14.2*2,14.2,K,,,14.2*2,98.3
D9,Navamsa,Mars,Mercury,False,,,,,,,-14.7
D9,Navamsa,Mars,Jupiter,False,34.8[G],34.8,G,,,,94.8
D9,Navamsa,Mars,Venus,False,,,,,,,-14.1
D9,Navamsa,Mars,Saturn,False,17.3[R],17.3,R,,,,3.7
D9,Navamsa,Mercury,Sun,False,,,,,,,18.0
D9,Navamsa,Mercury,Moon,False,3.3[G],3.3,G,,,,46.0
D9,Navamsa,Mercury,Mars,False,1.7[R],1.7,R,,,,98.3
D9,Navamsa,Mercury,Mercury,True,16.5,16.5,K,,,16.5,-14.7
D9,Navamsa,Mercury,Jupiter,False,1.0[R],1.0,R,,,,94.8
D9,Navamsa,Mercury,Venus,False,2.2[G],2.2,G,,,,-14.1
D9,Navamsa,Mercury,Saturn,False,,,,,,,3.7
D9,Navamsa,Jupiter,Sun,False,4.9[G],4.9,G,,,,18.0
D9,Navamsa,Jupiter,Moon,False,42.6[G],42.6,G,,,,46.0
D9,Navamsa,Jupiter,Mars,False,42.5[G],42.5,G,,,,98.3
D9,Navamsa,Jupiter,Mercury,False,,,,,,,-14.7
D9,Navamsa,Jupiter,Jupiter,True,11.6,11.6,K,,,11.6,94.8
D9,Navamsa,Jupiter,Venus,False,,,,,,,-14.1
D9,Navamsa,Jupiter,Saturn,False,,,,,,,3.7
D9,Navamsa,Venus,Sun,False,,,,,,,18.0
D9,Navamsa,Venus,Moon,False,,,,,,,46.0
D9,Navamsa,Venus,Mars,False,,,,,,,98.3
D9,Navamsa,Venus,Mercury,False,,,,,,,-14.7
D9,Navamsa,Venus,Jupiter,False,8.6[R],8.6,R,,,,94.8
D9,Navamsa,Venus,Venus,True,15.3,15.3,K,,,15.3,-14.1
D9,Navamsa,Venus,Saturn,False,40.5[G],40.5,G,,,,3.7
D9,Navamsa,Saturn,Sun,False,,,,,,,18.0
D9,Navamsa,Saturn,Moon,False,,,,,,,46.0
D9,Navamsa,Saturn,Mars,False,,,,,,,98.3
D9,Navamsa,Saturn,Mercury,False,,,,,,,-14.7
D9,Navamsa,Saturn,Jupiter,False,,,,,,,94.8
D9,Navamsa,Saturn,Venus,False,14.1[R],14.1,R,,,,-14.1
